PA_ID,NAME,TYPE,TYPE_ABBR,IUCN,NRS_PA,GAZ_AREA,GIS_AREA,REPT_AREA,GAZ_DATE,LATEST_GAZ,STATE,AUTHORITY,DATASOURCE,GOVERNANCE,COMMENTS,ENVIRON,OVERLAP,X_COORD,Y_COORD,MGT_PLAN,RES_NUMBER,EPBC,SHAPE_AREA,SHAPE_LEN
WA_19075,Unnamed WA19075,Nature Reserve,NR,IA,Y,135.892,135.87770275,135.87770275,"""1969-09-26T00:00:00.000Z""","""1969-09-26T00:00:00.000Z""",WA,WA_DPAW,WA_DPAW,G,,T,1,117.86131475,-33.46957582,I,WA19075,State,0.000131787033892,0.0882764841698
WA_19080,Unnamed WA19080,Nature Reserve,NR,IA,Y,80.2313,80.21211077,80.21211077,"""1901-01-01T00:00:00.000Z""","""1901-01-01T00:00:00.000Z""",WA,WA_DPAW,WA_DPAW,G,,T,1,118.28534799,-33.39141407,I,WA19080,State,0.0000777322792899,0.0394473856537
WA_19081,Unnamed WA19081,Nature Reserve,NR,IA,Y,133.9383,133.91335211,133.91335211,"""1901-01-01T00:00:00.000Z""","""1901-01-01T00:00:00.000Z""",WA,WA_DPAW,WA_DPAW,G,,T,1,118.27039959,-33.40367309,I,WA19081,State,0.000129791255919,0.0648979020971
WA_19082,Dongolocking,Nature Reserve,NR,IA,Y,719.953,719.92948044,719.92948044,"""1929-04-26T00:00:00.000Z""","""1929-04-26T00:00:00.000Z""",WA,WA_DPAW,WA_DPAW,G,,T,1,117.69353321,-33.07762365,I,WA19082,State,0.00069522000889,0.136153409832
WA_19083,Dongolocking,Nature Reserve,NR,IA,Y,198,188.19259555,188.19259555,"""1929-04-26T00:00:00.000Z""","""1929-04-26T00:00:00.000Z""",WA,WA_DPAW,WA_DPAW,G,,T,1,117.69335033,-33.05916086,I,WA19083,State,0.000181695562521,0.0794159776777
WA_19084,Mallee Plain,Nature Reserve,NR,IA,Y,316,374.52545683,374.52545683,"""1929-04-26T00:00:00.000Z""","""1929-04-26T00:00:00.000Z""",WA,WA_DPAW,WA_DPAW,G,,T,1,117.71572817,-33.04498605,I,WA19084,State,0.000361536269418,0.107446843929
WA_19085,Unnamed WA19085,Nature Reserve,NR,IA,Y,275.1862,294.99344538,294.99344538,"""1929-04-26T00:00:00.000Z""","""1929-04-26T00:00:00.000Z""",WA,WA_DPAW,WA_DPAW,G,,T,1,117.67049618,-33.10805452,I,WA19085,State,0.000284959949683,0.0864615298832
WA_19086,Unnamed WA19086,Nature Reserve,NR,IA,Y,18.4107,18.41200251,18.41200251,"""1929-04-26T00:00:00.000Z""","""1929-04-26T00:00:00.000Z""",WA,WA_DPAW,WA_DPAW,G,,T,1,117.68130477,-33.11703605,I,WA19086,State,0.0000177878839058,0.0185113316031
WA_19087,Dongolocking,Nature Reserve,NR,IA,Y,130.1852,130.13046199,130.13046199,"""1929-04-26T00:00:00.000Z""","""1929-04-26T00:00:00.000Z""",WA,WA_DPAW,WA_DPAW,G,,T,1,117.78426738,-33.04249703,I,WA19087,State,0.000125614814064,0.0538133003071
WA_19089,Dongolocking,Nature Reserve,NR,IA,Y,464.5791,455.46373087,455.46373087,"""1929-04-26T00:00:00.000Z""","""1929-04-26T00:00:00.000Z""",WA,WA_DPAW,WA_DPAW,G,,T,1,117.80428924,-33.06145992,I,WA19089,State,0.000439774477352,0.132108862091
WA_19090,Dongolocking,Nature Reserve,NR,IA,Y,149.7337,150.11404326,150.11404326,"""1929-04-26T00:00:00.000Z""","""1929-04-26T00:00:00.000Z""",WA,WA_DPAW,WA_DPAW,G,,T,1,117.84463735,-33.08455796,I,WA19090,State,0.000144972997154,0.0522024813752
WA_19091,Dongolocking,Nature Reserve,NR,IA,Y,138.83,138.86522144,138.86522144,"""1929-04-26T00:00:00.000Z""","""1929-04-26T00:00:00.000Z""",WA,WA_DPAW,WA_DPAW,G,,T,1,117.82565695,-33.09635758,I,WA19091,State,0.00013413352672,0.0700690357951
WA_19092,Dongolocking,Nature Reserve,NR,IA,Y,51.5649,51.58842454,51.58842454,"""1932-03-18T00:00:00.000Z""","""1932-03-18T00:00:00.000Z""",WA,WA_DPAW,WA_DPAW,G,,T,1,117.58731264,-33.09073042,I,WA19092,State,0.0000498250853299,0.0290714541716
WA_19093,Concaring,Nature Reserve,NR,IA,Y,84.984,116.85879868,116.85879868,"""1932-06-13T00:00:00.000Z""","""1932-06-13T00:00:00.000Z""",WA,WA_DPAW,WA_DPAW,G,,T,1,117.57424461,-33.10501801,I,WA19093,State,0.000112882431531,0.0449776001079
WA_19094,Dongolocking,Nature Reserve,NR,IA,Y,31.1608,28.93511739,28.93511739,"""1932-03-18T00:00:00.000Z""","""1932-03-18T00:00:00.000Z""",WA,WA_DPAW,WA_DPAW,G,,T,1,117.60201434,-33.10195055,I,WA19094,State,0.0000279495639401,0.0225545476157
WA_19095,Vagg,Nature Reserve,NR,IA,Y,108.0511,108.45761827,108.45761827,"""1929-04-26T00:00:00.000Z""","""1929-04-26T00:00:00.000Z""",WA,WA_DPAW,WA_DPAW,G,,T,1,117.61845195,-33.12780425,I,WA19095,State,0.000104795751659,0.0541079393795
WA_19096,Dongolocking,Nature Reserve,NR,IA,Y,338.9748,335.23287773,335.23287773,"""1929-04-26T00:00:00.000Z""","""1929-04-26T00:00:00.000Z""",WA,WA_DPAW,WA_DPAW,G,,T,1,117.68299972,-33.02338703,I,WA19096,State,0.000323554018378,0.115312752271
WA_19098,Cronin,Nature Reserve,NR,IA,Y,262.8968,276.44995823,276.44995823,"""1932-03-18T00:00:00.000Z""","""1932-03-18T00:00:00.000Z""",WA,WA_DPAW,WA_DPAW,G,,T,1,117.67207627,-33.20807688,I,WA19098,State,0.000267351279286,0.0857604277995
WA_19116,Buchanan,Nature Reserve,NR,IA,Y,129.4994,129.63547939,129.63547939,"""1932-03-18T00:00:00.000Z""","""1932-03-18T00:00:00.000Z""",WA,WA_DPAW,WA_DPAW,G,,T,1,117.55420085,-33.0962179,I,WA19116,State,0.000125212059011,0.0484607963055
WA_19118,Yarling,Nature Reserve,NR,IA,Y,102.7553,102.71086908,102.71086908,"""1952-05-02T00:00:00.000Z""","""1952-05-02T00:00:00.000Z""",WA,WA_DPAW,WA_DPAW,G,,T,1,117.45369891,-32.82120689,I,WA19118,State,0.0000989037395501,0.0434806351793
